CountyName,year,%WhiteDiabetes,%WhiteObesity,%BlackDiabetes,%BlackObesity,%AsianDiabetes,%AsianObesity,%NHOPIDiabetes,%NHOPIObesity,%AIANDiabetes,%AIANObesity,%OMultirDiabetes,%OMultirObesity,%HispanicDiabetes,%HispanicObesity
Apache,2018,11.111133822291691,28.766832992665627,13.105142857142857,31.804000000000006,14.879802955665026,33.60394088669951,14.707692307692307,33.20769230769231,17.732505656325497,37.14870192123327,13.451547721410146,31.90477214101462,12.229710673474349,30.518988572817896
Cochise,2018,11.053763399136637,32.62337585487705,8.791967063129002,30.661957913998165,9.25889108910891,30.362178217821782,9.46267942583732,30.974162679425838,11.269918187539334,33.33882945248584,11.955683311432324,34.24081252737626,12.624765531344757,35.01731659732506
Coconino,2018,6.814983065556185,23.880483806814755,6.284960098219766,24.373112338858192,6.442903575297942,23.88201516793066,6.684756097560976,24.042073170731708,12.731949664977938,30.683548510105137,7.414683361859292,25.17974056391316,7.26081691071232,24.98582516789607
Gila,2018,12.600952334677615,30.956972450318254,12.657510729613733,31.588412017167382,12.301098901098902,30.82014652014652,12.368085106382978,30.58723404255319,16.931210672036244,40.22539642587465,13.18760162601626,32.228658536585364,13.149687108886107,32.34299123904881
Graham,2018,10.171543594140232,32.442185112014016,9.543631039531478,33.56002928257687,9.9525,32.490500000000004,9.296153846153848,33.19807692307692,16.24620535714286,41.65293898809524,10.38108770210681,32.722880940715335,10.41785335689046,32.90208480565371
Greenlee,2018,11.3692968989868,33.1483727356463,10.32247191011236,32.92247191011236,9.745652173913044,32.75652173913044,12.139999999999999,33.4,10.809230769230771,33.04769230769231,10.59905541561713,32.98513853904282,10.92881188118812,33.071138613861386
La Paz,2018,17.228910946456033,35.550775898224515,14.869767441860466,35.32790697674419,15.214018691588786,35.7196261682243,15.042857142857141,36.15714285714285,15.56902587519026,38.731925418569254,15.033182367149758,36.74227053140097,15.15310029130254,36.772222222222226
Maricopa,2018,8.477176438587987,29.239131308484488,8.797813774532703,31.70597445816777,7.387483455228903,28.363939584168445,8.396752246469832,30.69709884467266,10.053215963640078,33.07684991318558,9.679886429828825,33.26712466973253,9.725718973675654,33.327757287634654
Mohave,2018,12.981944811879591,29.02053451270431,12.989160467587672,29.201700318809777,12.687826913932476,28.51921065145031,13.03782991202346,29.32375366568915,14.085644444444444,31.704600000000006,13.3168802196545,29.897769133966367,13.250306063783016,29.691058202847575
Navajo,2018,11.290678094087443,28.93981348637016,11.850319829424308,31.42441364605543,12.752931034482758,31.22655172413793,12.428,30.232,17.5251936238227,37.358904550428015,12.131085604973697,30.563510282161644,11.806481721545243,30.305436003802612
